title,author,medium,genre,time spent (min)
Billion Dollar Loser,Reeves Wiedeman,Audiobook,Nonfiction,60
Billion Dollar Loser,Reeves Wiedeman,Audiobook,Nonfiction,80
Billion Dollar Loser,Reeves Wiedeman,Audiobook,Nonfiction,60
Billion Dollar Loser,Reeves Wiedeman,Audiobook,Nonfiction,30
Billion Dollar Loser,Reeves Wiedeman,Audiobook,Nonfiction,20
Billion Dollar Loser,Reeves Wiedeman,Audiobook,Nonfiction,50
Billion Dollar Loser,Reeves Wiedeman,Audiobook,Nonfiction,25
Billion Dollar Loser,Reeves Wiedeman,Audiobook,Nonfiction,70
Billion Dollar Loser,Reeves Wiedeman,Audiobook,Nonfiction,90
Billion Dollar Loser,Reeves Wiedeman,Audiobook,Nonfiction,85
Billion Dollar Loser,Reeves Wiedeman,Audiobook,Nonfiction,25
Billion Dollar Loser,Reeves Wiedeman,Audiobook,Nonfiction,35
The Way of Kings,Brandon Sanderson,Book,Fantasy ,60
Billion Dollar Loser,Reeves Wiedeman,Audiobook,Nonfiction,60
The Way of Kings,Brandon Sanderson,Book,Fantasy,30
Steve Jobs,Walter Isaacson,Audiobook,Biography,45
The Way of Kings,Brandon Sanderson,Book,Fantasy,30
Steve Jobs,Walter Isaacson,Audiobook,Biography,50
The Way of Kings, Brandon Sanderson,Book,Fantasy,25
Steve Jobs,Walter Isaacson,Audiobook,Biography,75
Steve Jobs,Walter Isaacson,Audiobook,Biography,20
The Way of Kings,Brandon Sanderson,Book,Fantasy,60
Steve Jobs,Walter Isaacson,Audiobook,Biography,50
Diary of a CEO,Steven Bartlett & Mr beast,Podcast,Talk,90
Theo Von Podcast,Alexnadr Wang & Theo Von,Podcast,Comedy ,90
The Way of Kings,Brandon Sanderson,Book,Fantasy,30
Steve Jobs,Walter Isaacson,Audiobook,Biography,70
Steve Jobs,Walter Isaacson,Audiobook,Biography,85
The Way of Kings,Brandon Sanderson,Book,Fantasy,25
Steve Jobs,Walter Isaacson,Audiobook,Biography,60
